comuna,barrios
1,"CONSTITUCION, MONSERRAT, RETIRO, PUERTO MADERO, SAN NICOLAS, SAN TELMO"
2,RECOLETA
3,"SAN CRISTOBAL, BALVANERA"
4,"BARRACAS, BOCA, PARQUE PATRICIOS, NUEVA POMPEYA"
5,"ALMAGRO, BOEDO"
6,CABALLITO
7,"FLORES, PARQUE CHACABUCO"
8,"VILLA LUGANO, VILLA RIACHUELO, VILLA SOLDATI"
9,"PARQUE AVELLANEDA, MATADEROS, LINIERS"
10,"FLORESTA, MONTE CASTRO, VELEZ SARSFIELD, VERSALLES, VILLA LURO, VILLA REAL"
11,"VILLA DEL PARQUE, VILLA DEVOTO, VILLA GRAL. MITRE, VILLA SANTA RITA"
12,"VILLA URQUIZA, VILLA PUEYRREDON, SAAVEDRA, COGHLAN"
13,"BELGRANO, NUÃ‘EZ, COLEGIALES"
14,PALERMO
15,"AGRONOMIA, PATERNAL, PARQUE CHAS, CHACARITA, VILLA CRESPO, VILLA ORTUZAR"
